cukup baik	positive
amazing	positive
very good and nice	positive
flet hilangkan ಠಠ bagus flet ilang	positive
bagus tpi agk ngelag	positive
developer perbaiki sistemnya soalnya kadang ngeleg kdng ga mengikuti orng mengikuti sudh ga mengikuti orng perbaiki	positive
mantap jiwa mempesona	positive
hallo admin pengguna satu akun kedua minta ver nohp mengisinya sms apapun tepat mengisinya terjadi beberapa bulan lalu pikir tersebut dipakai akun baru baru dibeli aktif sms apapun pikir cuma ternyata diperbaiki	neutral
jahattt akun berkalikali ditangguhkan gg didaftarkan	negative
baik	positive
peria	positive
tambah fitur filter quote tweets dong liat quote retweet paling sukai duluan	neutral
maaf but knp twitt suka error login aj susah ngide ngide vpn kadang kadang engga whyy	neutral
ogo u mu kum z lc huu u uhnŭ pumfyu hph uhu uuu come cu uv gu u u u uu cu u yy uhuuyyyyuupyuuz u u hu gpozu izzzu puuu ohu h hu kuh zoo ucuzzzuuu h bizu zpo nouum ho u vc uluuguzuuzuzghu ho guu zlu ouzuu mu u uv uuumc u z uuzz hu icb pu mmoo zuooi oyv tuh ci yuu uu uuu yuu gu huu uketuk klip uuu uyyogy umu mmuuhicmzozk u hzo ŭu u l o ucapan uguhyouuyguna u	positive
dong bugnya bagusin ngescroll bawah buka foto lanjut ngescroll naik keatas	positive
brengsek susah lu daftar parusing kehed hayang d bura ku nguing emmm	negative
cacat sensor pornografi halhal sensitif lainya	negative
oops wafer tango uji besuait	negative
bermanfaat mencari referensi hiburan semoga baik kedepanya	positive
daftar ribet	negative
nice	positive
good	positive
burukkkkkkk ni	negative
jos	positive
bulan mei ayo donk bantai elow punya nyalie	positive
dibuka	negative
gabisa login	negative
membiyarkan hoax fitnah	positive
ciss dlu download tweet cuma baca au hvmv	positive
bagus	positive
aing daftr via pc android gagal verifikasi telpn ngak kode masuk tlpn sya padh bener telpn aktif jam why klo sya deh	negative
berguna bokepnya	positive
good	positive
mantap	positive
pelayanannya buruk mengajukan banding direspon minggu sehabis dibeli elon musk buruk	negative
knp yah sdh instal sdh terbuka langsung tertutup lg	neutral
love it	positive
bagus	positive
media mengedukasi penggunanya	positive
bagus	positive
jossss	positive
why cant open it	negative
diupdate buggg jelekkk	negative
aj	negative
update ngga dibuka reinstal ngga ngaruhkenapakalo dibuka	negative
buka cuma save gambar referensi gambar seronok gak pernah tau cuitan lebay	positive
cocok baca viral	positive
u cant control us like this why should we pay for scrolling our timeline and just get limit for like only post that can be seen everyday	negative
so far so good	positive
med sos menjadikan sukses gagal	positive
perbaiki eror kaitkan ga	negative
bagus kendala	positive
elon waras dkit	negative
gunanya update	negative
aplikasinya bagus bangaettttt	positive
kirim kode konfirmasi lama sampe kadaluarsa percobaan tambah karukaruan ni	negative
nda tau ko tanya	negative
mantap abiss	positive
good job	positive
gaje ni telek	negative
suka	neutral
lemot asuu	negative
bagus konten dewasa perhatikan	positive
emailpw bener tulisannya salah ajg	negative
luar biasa	positive
kece cuma adain fitur unsend dong	positive
update	positive
twiter ko berhenti pdadah notif giliran masuk apknya berhenti teruuusss	negative
x	positive
cant login	negative
akunya gak sampe beberapa kali gak	negative
its okey	negative
brengsek iklan tibatiba muncul mengganggu tau gak kl gak ditutup awas suek bener	negative
artikel bagus	positive
sdh lbh baik	positive
terlalu mendiskriminasi penggunya	negative
bagus	positive
kode verifikasi ngak muncul segera tanggapi	negative
penting baca beritanya seru	positive
biarkan benahi dulunanti bertambah nyaok	negative
eleeehhhh	neutral
lemottt	negative
cck	neutral
luarrr biasa	positive
update an timeline baik hilangkan	positive
lina mar lina	negative
why cant use feature space again	positive
aplikasinya nyaa baguss sekaliiselain bagus berguna sekaliiii bug dihape sayaaa terimakasih ehhehehehee nyaa bagus bagettttapi emng bener hehheehheedahhhmaaafff kalau kepanjangannhehahhaheheheahh skksks	positive
kenapaa susah login kesal dong aelah	negative
fitur voice note os donggg	positive
makasih	positive
mantap	positive
hebat	neutral
good	positive
gila parah kode email masuk kode gd masuk tohd gmn dong tohd perbaikan ntar dah baik balik	negative
gila cok bener bokepnya ajg	positive
kenpa susah tuk login twiter	negative
sini aneh	negative
update ga refresh tweet video ga buka ga scroll bawah lihat tweet terlewatkan kog semakin kesini kualitas layanannya semakin jelek	negative
melakukan verifikasi pendaftaran nomer dikatakan sah sampah	negative
baik membantu	negative
update berkalikali tetep tampilan otomatis senja ga berfungsi hadehhhh mengcapek atur manual dark update gak • baca thread tbtb scroll atas paling emosi • habis buka sb balik tldm ngelag hapus pencarian sb balik bentar search sb	negative
tampilan jelek	negative
plis dongg pihak jangan perbarui twitternya kaya facebook	negative
jelek bat akun gue kelck ga ngapa ngapain tlg dong unlock in smua akun gue	negative
mantap	positive
very good	positive
mengembalikan akun dev masa iya cuma gonta ganti akun doang akun kena sensi kan gak lucu	negative
baik	positive
baru diupdate langsung hilang semuanyasudah uninstall download tetap error	negative
bagus lihat bokep	positive
gpp	positive
oke bngt	positive
bagus si tp pliss jgn limit	negative
tempat limbah terbesar tiktok	negative
jelek baca tweet isi batesin	negative
baik	positive
very good	positive
gue naik atas retweet liat postingan orang	positive
good	positive
iklan maksa minta dowload	negative
masuk akun susah detektor perangkat kan ribet kaya orang ngambil bantuan noob	negative
hiburan mantul	positive
susah loginnya	negative
gak berguna ngabisin kuota penuhin memori doang mendingan hapus dahh play store	negative
very good	positive
nonton live streaming tweet lewat vivo gabisa keluar gitu	positive
gua login beberapa kali gak	negative
bug	negative
bgs sy ska	positive
bagus	positive
keceh	positive
daftar	negative
kg nih daftar kg	negative
shame on u elon	negative
jooossstj	positive
top	negative
lg down gak dibuka	negative
gagal masuk kata sandi email	negative
masuk tulisan maaf terjadi kesalasahan teknis wawadukan	negative
jelek mudah blokir	negative
bagus nonton bokep cantik	positive
bnyk masalah trs males	negative
alahamdulilah sbntar lgi lebaran	positive
akun blokir suka suka kalian auto uninstall	negative
login	negative
mantap	positive
for you feature was a mistake	negative
bagus nonton bokp	positive
kakean taek tambah koyok taek saiki	negative
vidio putar oto matis	positive
sangatttt menyukai mengerti berita acara sja	positive
knp limit klo kesepian larinya twt kena limit lari siapa	negative
good	positive
update susah	negative
sukanya pakai up to date berita terviral semoga semakin menjadi terbaik	positive
bad ga like lemot balik awal kadang sinyal kenceng tp lemot why perbaiki segera	negative
mantap	positive
good	positive
bagus berita baru	positive
napa sy blokir	neutral
ops	positive
sebaiknya fitur hapus pesan direct message	positive
penuh porno	negative
enak nonton bokep	positive
why is space out though it was so good to talk beginning to be a speaker even have been a listener because of getting out alone please fix it	neutral
apl mantap membantu	positive
bagus	positive
semakin kesini semakin aneh	negative
login	negative
jelek	negative
u•••°°	positive
good	positive
nyaman	positive
good	positive
ga sms dr tlpn	negative
bagus	positive
is best	positive
oke	positive
kasian yaudah gue	positive
bahkan kalau sejak baru diupdate langsung keluar sedang loading lini masa perbaiki secepatnya kurang nyaman keadaan	negative
bgus gua suka tpi satu akun lama ku knpa tangguhkn mohon bri info klu ngebened jgn asal bened	positive
lumayang	neutral
semoga bermanfaat	neutral
bagus pewis	positive
mantap bagus	positive
perbaiki	negative
download wa ig fb untung	positive
bagus	positive
bosok	negative
waktu install katanya suruh diperbarui gabisa uninstall deh tadi nyoba install tetep gabisa	negative
habis update semakin gak kukira ku bermaslah ternyata eh ternyata	negative
memuaskan	positive
curhat habis update dm nge lag knpa hm ko berubah	neutral
